,Location,ParentLocation,PM25_Value,Average_PM25
0,Kenya,Africa,10.01,29.812282051282054
1,Trinidad and Tobago,Americas,10.02,14.645727810650888
2,United Kingdom of Great Britain and Northern Ireland,Europe,10.06,19.244726923076925
3,Grenada,Americas,10.08,14.645727810650888
4,Brazil,Americas,10.09,14.645727810650888
5,Denmark,Europe,10.12,19.244726923076925
6,Russian Federation,Europe,10.19,19.244726923076925
7,Spain,Europe,10.19,19.244726923076925
8,Grenada,Americas,10.22,14.645727810650888
9,Grenada,Americas,10.22,14.645727810650888
10,Trinidad and Tobago,Americas,10.26,14.645727810650888
11,France,Europe,10.27,19.244726923076925
12,Guyana,Americas,10.33,14.645727810650888
13,Austria,Europe,10.34,19.244726923076925
14,Lithuania,Europe,10.37,19.244726923076925
15,Haiti,Americas,10.38,14.645727810650888
16,Trinidad and Tobago,Americas,10.39,14.645727810650888
17,Trinidad and Tobago,Americas,10.39,14.645727810650888
18,Trinidad and Tobago,Americas,10.4,14.645727810650888
19,Belize,Americas,10.44,14.645727810650888
20,Belize,Americas,10.44,14.645727810650888
21,Belize,Americas,10.45,14.645727810650888
22,France,Europe,10.46,19.244726923076925
23,Mauritius,Africa,10.48,29.812282051282054
24,Mauritius,Africa,10.48,29.812282051282054
25,Netherlands (Kingdom of the),Europe,10.5,19.244726923076925
26,Belize,Americas,10.51,14.645727810650888
27,Belize,Americas,10.51,14.645727810650888
28,Japan,Western Pacific,10.51,15.497559322033897
29,Mauritius,Africa,10.53,29.812282051282054
30,Germany,Europe,10.55,19.244726923076925
31,Denmark,Europe,10.7,19.244726923076925
32,Germany,Europe,10.73,19.244726923076925
33,Netherlands (Kingdom of the),Europe,10.74,19.244726923076925
34,Namibia,Africa,10.81,29.812282051282054
35,Japan,Western Pacific,10.84,15.497559322033897
36,Cuba,Americas,10.86,14.645727810650888
37,Netherlands (Kingdom of the),Europe,10.88,19.244726923076925
38,Suriname,Americas,10.89,14.645727810650888
39,Brazil,Americas,10.94,14.645727810650888
40,Argentina,Americas,11.07,14.645727810650888
41,Belgium,Europe,11.08,19.244726923076925
42,Japan,Western Pacific,11.1,15.497559322033897
43,Guyana,Americas,11.11,14.645727810650888
44,Mauritius,Africa,11.13,29.812282051282054
45,Netherlands (Kingdom of the),Europe,11.15,19.244726923076925
46,Germany,Europe,11.15,19.244726923076925
47,Argentina,Americas,11.23,14.645727810650888
48,Austria,Europe,11.24,19.244726923076925
49,Guyana,Americas,11.25,14.645727810650888
50,Belgium,Europe,11.26,19.244726923076925
51,Brazil,Americas,11.26,14.645727810650888
52,Japan,Western Pacific,11.32,15.497559322033897
53,France,Europe,11.34,19.244726923076925
54,Paraguay,Americas,11.46,14.645727810650888
55,Austria,Europe,11.51,19.244726923076925
56,Lithuania,Europe,11.52,19.244726923076925
57,Latvia,Europe,11.55,19.244726923076925
58,Belgium,Europe,11.57,19.244726923076925
59,Panama,Americas,11.6,14.645727810650888
60,Lithuania,Europe,11.67,19.244726923076925
61,Guyana,Americas,11.7,14.645727810650888
62,Brazil,Americas,11.75,14.645727810650888
63,Panama,Americas,11.78,14.645727810650888
64,Namibia,Africa,11.81,29.812282051282054
65,Lithuania,Europe,11.83,19.244726923076925
66,Panama,Americas,11.85,14.645727810650888
67,Panama,Americas,11.89,14.645727810650888
68,Germany,Europe,11.92,19.244726923076925
69,Argentina,Americas,11.97,14.645727810650888
70,Guyana,Americas,12.01,14.645727810650888
71,Latvia,Europe,12.02,19.244726923076925
72,France,Europe,12.03,19.244726923076925
73,Argentina,Americas,12.04,14.645727810650888
74,Panama,Americas,12.05,14.645727810650888
75,Republic of Moldova,Europe,12.06,19.244726923076925
76,Ukraine,Europe,12.15,19.244726923076925
77,Suriname,Americas,12.17,14.645727810650888
78,Malta,Europe,12.21,19.244726923076925
79,Romania,Europe,12.23,19.244726923076925
80,Italy,Europe,12.26,19.244726923076925
81,Republic of Moldova,Europe,12.29,19.244726923076925
82,Belgium,Europe,12.3,19.244726923076925
83,Paraguay,Americas,12.31,14.645727810650888
84,Kenya,Africa,12.33,29.812282051282054
85,Zimbabwe,Africa,12.34,29.812282051282054
86,Namibia,Africa,12.34,29.812282051282054
87,Maldives,South-East Asia,12.34,32.1457962962963
88,Republic of Moldova,Europe,12.37,19.244726923076925
89,Austria,Europe,12.42,19.244726923076925
90,Paraguay,Americas,12.49,14.645727810650888
91,Botswana,Africa,12.51,29.812282051282054
92,Kenya,Africa,12.52,29.812282051282054
93,Kenya,Africa,12.68,29.812282051282054
94,Maldives,South-East Asia,12.69,32.1457962962963
95,Greece,Europe,12.7,19.244726923076925
96,Republic of Moldova,Europe,12.74,19.244726923076925
97,Suriname,Americas,12.78,14.645727810650888
98,Morocco,Eastern Mediterranean,12.8,38.40368181818182
99,Botswana,Africa,12.82,29.812282051282054
100,Argentina,Americas,12.85,14.645727810650888
101,Malta,Europe,12.93,19.244726923076925
102,Cuba,Americas,12.93,14.645727810650888
103,Malta,Europe,12.94,19.244726923076925
104,Maldives,South-East Asia,13.0,32.1457962962963
105,Cyprus,Europe,13.01,19.244726923076925
106,Suriname,Americas,13.03,14.645727810650888
107,Zimbabwe,Africa,13.07,29.812282051282054
108,Malta,Europe,13.08,19.244726923076925
109,Zimbabwe,Africa,13.08,29.812282051282054
110,Ukraine,Europe,13.12,19.244726923076925
111,Namibia,Africa,13.13,29.812282051282054
112,Colombia,Americas,13.14,14.645727810650888
113,Morocco,Eastern Mediterranean,13.2,38.40368181818182
114,Suriname,Americas,13.21,14.645727810650888
115,Paraguay,Americas,13.23,14.645727810650888
116,Colombia,Americas,13.26,14.645727810650888
117,Romania,Europe,13.3,19.244726923076925
118,Cuba,Americas,13.32,14.645727810650888
119,Singapore,Western Pacific,13.33,15.497559322033897
120,Singapore,Western Pacific,13.33,15.497559322033897
121,Singapore,Western Pacific,13.33,15.497559322033897
122,Austria,Europe,13.33,19.244726923076925
123,Belarus,Europe,13.41,19.244726923076925
124,Morocco,Eastern Mediterranean,13.44,38.40368181818182
125,Slovenia,Europe,13.44,19.244726923076925
126,Hungary,Europe,13.45,19.244726923076925
127,Paraguay,Americas,13.5,14.645727810650888
128,Ukraine,Europe,13.51,19.244726923076925
129,Somalia,Eastern Mediterranean,13.53,38.40368181818182
130,Czechia,Europe,13.56,19.244726923076925
131,Republic of Moldova,Europe,13.63,19.244726923076925
132,Romania,Europe,13.71,19.244726923076925
133,Morocco,Eastern Mediterranean,13.73,38.40368181818182
134,Jamaica,Americas,13.75,14.645727810650888
135,Maldives,South-East Asia,13.79,32.1457962962963
136,Costa Rica,Americas,13.87,14.645727810650888
137,Maldives,South-East Asia,13.88,32.1457962962963
138,Botswana,Africa,13.9,29.812282051282054
139,Morocco,Eastern Mediterranean,13.92,38.40368181818182
140,Jamaica,Americas,13.99,14.645727810650888
141,Italy,Europe,14.01,19.244726923076925
142,Comoros,Africa,14.02,29.812282051282054
143,Colombia,Americas,14.04,14.645727810650888
144,Namibia,Africa,14.04,29.812282051282054
145,Hungary,Europe,14.05,19.244726923076925
146,Slovenia,Europe,14.07,19.244726923076925
147,Slovenia,Europe,14.08,19.244726923076925
148,Romania,Europe,14.11,19.244726923076925
149,Latvia,Europe,14.13,19.244726923076925
150,South Africa,Africa,14.21,29.812282051282054
151,Italy,Europe,14.22,19.244726923076925
152,Costa Rica,Americas,14.23,14.645727810650888
153,Hungary,Europe,14.24,19.244726923076925
154,Somalia,Eastern Mediterranean,14.26,38.40368181818182
155,Somalia,Eastern Mediterranean,14.28,38.40368181818182
156,Czechia,Europe,14.34,19.244726923076925
157,Kenya,Africa,14.34,29.812282051282054
158,Greece,Europe,14.37,19.244726923076925
159,Comoros,Africa,14.37,29.812282051282054
160,Comoros,Africa,14.38,29.812282051282054
161,Somalia,Eastern Mediterranean,14.41,38.40368181818182
162,Botswana,Africa,14.42,29.812282051282054
163,Zimbabwe,Africa,14.47,29.812282051282054
164,United Republic of Tanzania,Africa,14.47,29.812282051282054
165,Comoros,Africa,14.49,29.812282051282054
166,Ukraine,Europe,14.51,19.244726923076925
167,Cyprus,Europe,14.52,19.244726923076925
168,Cyprus,Europe,14.55,19.244726923076925
169,Slovenia,Europe,14.6,19.244726923076925
170,Romania,Europe,14.61,19.244726923076925
171,Greece,Europe,14.62,19.244726923076925
172,Belarus,Europe,14.67,19.244726923076925
173,Costa Rica,Americas,14.7,14.645727810650888
174,Comoros,Africa,14.71,29.812282051282054
175,Italy,Europe,14.73,19.244726923076925
176,Madagascar,Africa,14.73,29.812282051282054
